Frame,Person,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight
241,1,897,501,95,95
241,11,297,114,137,137
243,0,920,100,136,137
243,2,283,501,95,95
243,1,897,501,95,95
243,1,297,114,137,137
245,2,283,501,95,95
245,0,920,100,136,137
245,1,897,501,95,95
245,11,297,100,137,137
247,2,283,501,95,95
247,0,920,100,136,137
247,1,897,501,95,95
247,1,305,127,114,113
249,2,283,501,95,95
249,0,920,100,136,137
249,1,907,501,95,95
249,1,305,127,114,113
251,2,283,501,95,95
251,0,920,100,136,137
251,1,907,501,95,95
251,1,305,127,114,113
253,2,283,501,95,95
253,0,920,100,136,137
253,1,907,501,95,95
253,3,297,100,137,137
255,2,283,501,95,95
255,0,920,100,136,137
255,1,907,501,95,95
255,11,297,100,137,137
257,0,920,87,136,136
257,2,271,495,113,114
257,1,907,501,95,95
257,11,297,100,137,137
259,2,282,495,114,114
259,0,920,87,136,136
259,1,907,501,95,95
259,1,297,100,137,137
261,0,920,87,136,136
261,1,907,511,95,95
261,1,297,100,137,137
261,2,294,484,113,114
263,0,920,87,136,136
263,1,907,511,95,95
263,1,297,100,137,137
263,2,294,484,113,114
265,0,920,87,136,136
265,1,907,511,95,95
265,1,284,100,136,137
265,2,294,484,113,114
267,0,920,87,136,136
267,1,907,511,95,95
267,11,284,100,136,137
267,2,294,484,113,114
269,0,920,87,136,136
269,1,907,511,95,95
269,1,284,100,136,137
269,2,305,484,114,114
271,0,920,87,136,136
271,1,907,511,95,95
271,11,284,100,136,137
271,2,305,484,114,114
273,0,920,87,136,136
273,1,907,511,95,95
273,1,305,127,114,113
273,2,305,484,114,114
275,0,920,100,136,137
275,1,907,511,95,95
275,11,305,127,114,113
275,2,305,484,114,114
277,0,920,100,136,137
277,1,924,508,79,79
277,1,305,127,114,113
277,2,294,484,113,114
279,0,920,100,136,137
279,1,924,508,79,79
279,11,294,127,113,113
279,2,294,484,113,114
281,0,920,100,136,137
281,1,294,127,113,113
281,1,904,507,114,114
281,2,294,484,113,114
283,0,920,100,136,137
283,1,294,127,113,113
283,1,904,495,114,114
283,2,294,484,113,114
285,0,920,87,136,136
285,1,294,127,113,113
285,1,904,495,114,114
285,2,294,484,113,114
287,0,920,100,136,137
287,1,294,127,113,113
287,1,907,511,95,95
287,2,294,484,113,114
289,0,920,100,136,137
289,1,294,127,113,113
289,1,904,495,114,114
289,2,294,484,113,114
291,0,920,100,136,137
291,1,294,127,113,113
291,1,907,492,95,94
291,2,294,484,113,114
293,0,920,100,136,137
293,1,294,127,113,113
293,1,924,508,79,79
293,2,294,484,113,114
295,0,920,100,136,137
295,1,294,127,113,113
295,1,924,508,79,79
295,2,305,484,114,114
297,0,920,87,136,136
297,1,294,127,113,113
297,1,916,501,95,95
297,2,305,484,114,114
